threshold,cutoff,scope,event,N,n,missing,pi,width,observed_rate,q_median,q_lo,q_hi,lower_median,upper_median,lower_lo,lower_hi,upper_lo,upper_hi
2000000000.0,5,endpoint,loss20,21,21,0,1.0,0.0,0.2857142857142857,0.2885414136983971,0.1311710900418908,0.49544345895135233,0.2885414136983971,0.2885414136983971,0.1311710900418908,0.49544345895135233,0.1311710900418908,0.49544345895135233
2000000000.0,5,joint_tape,positive,21,20,1,0.9523809523809523,0.04761904761904767,0.35,0.35122575150312735,0.1702457329862213,0.5651983854613775,0.33450071571726414,0.3821197633363118,0.16213879332021075,0.5382841766298833,0.20975784093925842,0.5859032242489309
2000000000.0,5,joint_tape,loss20,21,20,1,0.9523809523809523,0.04761904761904767,0.25,0.25415996318419265,0.10431413154401505,0.46695647353490555,0.2420571077944692,0.2896761554135169,0.099346791946681,0.4447204509856243,0.14696583956572867,0.49233949860467197
2000000000.0,10,endpoint,positive,21,21,0,1.0,0.0,0.2857142857142857,0.2897006277153546,0.13219340284903222,0.49994656368082063,0.2897006277153546,0.2897006277153546,0.13219340284903222,0.49994656368082063,0.13219340284903222,0.49994656368082063
2000000000.0,10,endpoint,loss20,21,21,0,1.0,0.0,0.38095238095238093,0.38217326924863815,0.20290033977687758,0.5976629326693726,0.38217326924863815,0.38217326924863815,0.20290033977687758,0.5976629326693726,0.20290033977687758,0.5976629326693726
2000000000.0,10,joint_tape,positive,21,20,1,0.9523809523809523,0.04761904761904767,0.3,0.30418249959943094,0.13500158400737847,0.515706314536735,0.2896976186661247,0.3373166662851724,0.12857293714988424,0.49114887098736665,0.17619198476893191,0.5387679186064143
2000000000.0,10,joint_tape,loss20,21,20,1,0.9523809523809523,0.04761904761904767,0.35,0.3527830588057346,0.177079769300947,0.565607073276235,0.33598386552927095,0.3836029131483186,0.16864739933423523,0.5386734031202238,0.2162664469532829,0.5862924507392715
2000000000.0,20,endpoint,positive,21,21,0,1.0,0.0,0.2857142857142857,0.28961774563387854,0.13164508556977,0.4970550701265844,0.28961774563387854,0.28961774563387854,0.13164508556977,0.4970550701265844,0.13164508556977,0.4970550701265844
2000000000.0,20,endpoint,loss20,21,21,0,1.0,0.0,0.09523809523809523,0.10178704721042026,0.020632668168338912,0.2668102767303291,0.10178704721042026,0.10178704721042026,0.020632668168338912,0.2668102767303291,0.020632668168338912,0.2668102767303291
2000000000.0,20,joint_tape,positive,21,20,1,0.9523809523809523,0.04761904761904767,0.3,0.3019884468113725,0.1374561056809057,0.5178246052213819,0.28760804458225947,0.33522709220130714,0.1309105768389578,0.4931662906870303,0.17852962445800546,0.540785338306078
2000000000.0,20,joint_tape,loss20,21,20,1,0.9523809523809523,0.04761904761904767,0.05,0.059313359961774045,0.005817068322966874,0.21114086346586636,0.05648891424930861,0.10410796186835629,0.00554006506949226,0.20108653663415843,0.053159112688539935,0.2487055842532061
