day,q10,q25,q50,q75,q90,variable,group
15,0.5128137865090825,0.8390596766276399,1.6640534306144714,4.367311688108482,10.966300784017594,cum_ti,all
16,0.5237547857767553,0.8581188215032127,1.690904150112596,4.51288377591108,11.595883768786186,cum_ti,all
17,0.5382953277236748,0.8850327438147445,1.7251738529193212,4.6144066677872715,12.2939825648532,cum_ti,all
18,0.5550328118837176,0.9107039535678605,1.8471102331383518,4.731713605788867,12.615208410018209,cum_ti,all
19,0.5658718034751158,0.9306087539075878,1.882957741553695,4.85787319153321,13.163395412300833,cum_ti,all
20,0.5894018368704409,0.9534638245567826,1.9290105636727182,4.980890216358746,13.945380927640787,cum_ti,all
21,0.5992783483024839,0.9846089178710009,1.9662963214204303,5.116232888405482,14.672562254835077,cum_ti,all
22,0.6121382534888437,1.0044956901483182,2.010359404812748,5.192162880621945,14.898312420048033,cum_ti,all
23,0.639941691546936,1.027564768506201,2.0441241666666667,5.345919907431293,15.190733402279438,cum_ti,all
24,0.6516897088673534,1.060665237909319,2.0983526446732608,5.485142344040811,15.692026540835293,cum_ti,all
25,0.6649902522297546,1.081650343218818,2.123599077001888,5.614759261565685,15.853895030342057,cum_ti,all
26,0.6687180463313255,1.1022744596160199,2.16114925142635,5.745860886418626,16.082581008994055,cum_ti,all
27,0.6919660220897766,1.1222917322338022,2.22328791913305,5.812476840684509,16.55730771611185,cum_ti,all
28,0.7190752896314022,1.1396907135092291,2.26697994617939,5.947565360552396,16.61929320850831,cum_ti,all
29,0.7330481879517838,1.159920969466162,2.3177680309405413,6.074360609188398,17.982359942857148,cum_ti,all
30,0.7498522036969542,1.1870891616073342,2.374866160537551,6.20396874349233,18.422986722870156,cum_ti,all
31,0.7649705124436773,1.2046751091655494,2.453585933672243,6.295384618800036,18.840908433511864,cum_ti,all
32,0.7744698509398968,1.2168112398044304,2.5159093503881103,6.372229959417725,19.771185423265504,cum_ti,all
33,0.7899265564182885,1.2393406854297921,2.5561156158828737,6.511968965639433,21.274322784000013,cum_ti,all
34,0.8011772022062815,1.2640530877021892,2.606872334448047,6.681492840895017,21.370461299970593,cum_ti,all
35,0.8060143944503604,1.305755099840467,2.6410842153810683,6.785822184505092,21.540329048840128,cum_ti,all
36,0.8164411506144652,1.3205297610868636,2.708021377977621,6.971080069511435,21.786240005020755,cum_ti,all
37,0.8238866325951314,1.3443974076306793,2.741712580080032,7.107977882670085,22.302523970192976,cum_ti,all
38,0.8311658495354938,1.3625230824371832,2.789199328953262,7.198137719080188,22.898092694624584,cum_ti,all
39,0.8332885592622151,1.3810068382519223,2.819210454545455,7.309208483763683,23.17763848412591,cum_ti,all
40,0.8697799242789462,1.4095894070414057,2.8758437366008467,7.45973232728757,23.982754012560015,cum_ti,all
41,0.8756888590758662,1.4299536869058815,2.9128652184039354,7.801537140880024,24.363427431860156,cum_ti,all
42,0.8921389729670174,1.4521988887857615,2.9377899777053766,7.950723661039444,24.830011242258475,cum_ti,all
43,0.8989177409481781,1.4688354503434127,2.978688603570571,8.077194903257647,25.184302589484215,cum_ti,all
44,0.9126578388006379,1.4834273897280834,3.01311736206228,8.186683763906183,25.349511569114757,cum_ti,all
45,0.9235083963643473,1.508826665400405,3.066586518518519,8.312957239354324,26.314701676238407,cum_ti,all
46,0.9297451368543539,1.5427972803124779,3.122715524437211,8.4262167631692,26.567699149721655,cum_ti,all
47,0.937471521463944,1.5592103214005593,3.1835522235214713,8.628204772564278,27.143009774358976,cum_ti,all
48,0.9497061007349855,1.5810231154054892,3.249,8.636774234056828,27.40037061766011,cum_ti,all
49,0.9637358939644185,1.609712521744873,3.3008959101977804,8.958420119442486,27.79659922233995,cum_ti,all
50,0.9744956252461673,1.656047375887748,3.34612175384249,9.124998809436839,28.504390546574033,cum_ti,all
51,0.9789821995028524,1.6691913364521296,3.391100179176569,9.155180068040252,28.905810740648775,cum_ti,all
52,0.9882547888637708,1.6810017487496394,3.431145714506745,9.31096850061887,29.401560137329657,cum_ti,all
53,0.9985718433436978,1.710872825371438,3.4827029357716057,9.651140747216399,29.94241385717352,cum_ti,all
54,1.0142824076373005,1.7296389939098005,3.5222035606037485,9.726486661831789,30.265841910326717,cum_ti,all
55,1.022594296224829,1.7512454188367803,3.5660115350785624,9.873870343424247,30.41998481876407,cum_ti,all
56,1.0441726622407628,1.796704727763059,3.6091459544196534,10.07877688614347,30.862547025100262,cum_ti,all
57,1.0485826888772132,1.8138243540239736,3.6476468181818187,10.35866287177623,31.946555391773135,cum_ti,all
58,1.0567365981923214,1.8291355314128408,3.67329824140625,10.471284967912819,31.98184031313211,cum_ti,all
59,1.0765984258851553,1.8469401359831066,3.7279169347597305,10.637263596860986,32.92150468826652,cum_ti,all
60,1.0902371253593308,1.8770320719178115,3.761048066126062,10.910569968354114,34.58888980091783,cum_ti,all
1,0.0,0.0,0.0,0.0,0.0,cum_rv,all
2,0.007796020689956774,0.02136618360147735,0.05527321130586804,0.12581464493335592,0.2660283027537647,cum_rv,all
3,0.021692634865865458,0.04397458016878718,0.08652186533034247,0.18036187401154896,0.3343051238520236,cum_rv,all
4,0.03332652967989054,0.056555980393055885,0.10950327140913461,0.20744147271204302,0.383279537747487,cum_rv,all
5,0.0424802116742701,0.0706751943047127,0.1301235903654787,0.2333820447144142,0.42576814327264556,cum_rv,all
6,0.05072942973389088,0.08117537025598631,0.14174809623005205,0.25739064688349045,0.48142046832419877,cum_rv,all
7,0.055307436614635226,0.09165768425487769,0.15280711527774293,0.27317781918446943,0.4999613851913142,cum_rv,all
8,0.06148402887872375,0.10016211861411015,0.1644751329361909,0.28787687438160836,0.5102239589499635,cum_rv,all
9,0.06645313100256055,0.10649136841636594,0.1764918468071419,0.29897880916416775,0.5354206309170063,cum_rv,all
10,0.06919204190444823,0.11196017575415275,0.18658896969634473,0.3113332769763325,0.5515170450864347,cum_rv,all
11,0.0728689428679472,0.11712839324876584,0.19192708486022264,0.3231123628381546,0.5746327310861342,cum_rv,all
12,0.07658313372093878,0.12162147780634011,0.20239174005415994,0.3440976813926418,0.5828621723300287,cum_rv,all
13,0.07856299625152101,0.13254712837780563,0.20987258794321262,0.3591420628984897,0.6007772476845684,cum_rv,all
14,0.08237610273962323,0.1374942353478369,0.21670967276758657,0.3651394089358462,0.6122830847062747,cum_rv,all
15,0.08826157309154625,0.14192481286940267,0.221915454573281,0.372109133210109,0.6371695854596245,cum_rv,all
16,0.09214871981257203,0.1456980245332363,0.22775360122106664,0.38289539830589814,0.6635970252759442,cum_rv,all
17,0.09520620176628626,0.15161408536800638,0.23494986575823912,0.3873521329341335,0.6639093387810944,cum_rv,all
18,0.09932037735572073,0.1588650413904209,0.24584763359300751,0.3958207075254594,0.68008735790054,cum_rv,all
19,0.10216045761737719,0.16398731946571088,0.24917605388378317,0.40555764217876583,0.7033715808628702,cum_rv,all
20,0.10783438830575495,0.16673086947267696,0.25928005195844595,0.4109615628372201,0.7106240747928877,cum_rv,all
21,0.11098043103507524,0.17089195651983413,0.2644843784707614,0.41599009365778417,0.7140197115604836,cum_rv,all
22,0.11774961556363385,0.1767437382132426,0.27055188314418643,0.41975981199088563,0.719029444741879,cum_rv,all
23,0.11932741957022273,0.18336918726476853,0.27557465730711683,0.4256569702001449,0.7281293908346783,cum_rv,all
24,0.12424497899824144,0.18847484172259515,0.286936809305353,0.43812568422716747,0.751499173316221,cum_rv,all
25,0.130856541631812,0.19568046153985422,0.29156926585401316,0.44663391187254586,0.7561176351718293,cum_rv,all
26,0.13190141606901307,0.2035080227211845,0.2962436082314487,0.45468063408648113,0.75794118667347,cum_rv,all
27,0.13477842962510372,0.20798586022473003,0.30409537828022837,0.4676320190914437,0.7617746506212052,cum_rv,all
28,0.13852665494321392,0.2114569052412672,0.3132222437102725,0.47226157500372834,0.7736678193690872,cum_rv,all
29,0.14065382252011127,0.21865473311600708,0.31882124225844005,0.4884379095410228,0.8005485186718244,cum_rv,all
30,0.1430232419924983,0.22267403770385788,0.3224477479422523,0.49225460634909524,0.8181825351645392,cum_rv,all
31,0.14758453001810573,0.2286535808826384,0.3287223256309721,0.5059925563093184,0.8372225477033282,cum_rv,all
32,0.15117254998405324,0.23204712187039006,0.33298727127934313,0.5189016901058837,0.8598367205588717,cum_rv,all
33,0.15505703085706252,0.23511764094062754,0.3384567400514295,0.5264454492926247,0.8700851896617477,cum_rv,all
34,0.15935374761273707,0.24177690995695367,0.3431493422751615,0.5274648403725894,0.88558923011536,cum_rv,all
35,0.1620228303732033,0.24440861848934414,0.34940040203918843,0.5362642651389639,0.8858726562535817,cum_rv,all
36,0.16621962466894102,0.24781672288126272,0.3554588780357282,0.5429546507309747,0.8925969768147265,cum_rv,all
37,0.16843023355235795,0.2556948877947052,0.35921427837287667,0.553184579711288,0.9126767498888587,cum_rv,all
38,0.16964434208678697,0.2590855754969653,0.3654353946532856,0.5554776128334631,0.9248699126941686,cum_rv,all
