phase,threshold,kind,cutoff,n,log_score,crps,p_positive,observed_positive,coverage50,coverage50_lo,coverage50_hi,coverage80,coverage80_lo,coverage80_hi,coverage95,coverage95_lo,coverage95_hi
development,500000000.0,M2,20,24,0.09981399666902584,0.11254547844849572,0.48515836273089885,0.4583333333333333,0.6666666666666666,0.46773060400697103,0.8280358336978952,0.9583333333333334,0.8213050812010269,0.9954668098727285,1.0,0.9016123956141302,0.999979752433282
development,500000000.0,M3,1,24,-0.238214090246368,0.15903917359569852,0.5682173265555899,0.4166666666666667,0.6666666666666666,0.46773060400697103,0.8280358336978952,0.9583333333333334,0.8213050812010269,0.9954668098727285,1.0,0.9016123956141302,0.999979752433282
development,500000000.0,M3,5,24,-0.05172693132825085,0.13040445912340962,0.4903972684846773,0.375,0.5833333333333334,0.3860203900990539,0.7618487306979931,0.9583333333333334,0.8213050812010269,0.9954668098727285,1.0,0.9016123956141302,0.999979752433282
development,500000000.0,M3,10,24,0.021190221641680867,0.12408888075507189,0.47865593059106715,0.4583333333333333,0.625,0.42618641474541646,0.7956256354352873,0.9583333333333334,0.8213050812010269,0.9954668098727285,1.0,0.9016123956141302,0.999979752433282
development,500000000.0,M3,20,24,0.15195396156069835,0.10900760435816291,0.48628774635063926,0.4583333333333333,0.625,0.42618641474541646,0.7956256354352873,0.9583333333333334,0.8213050812010269,0.9954668098727285,1.0,0.9016123956141302,0.999979752433282
development,1000000000.0,M0,1,9,-0.24219425571578984,0.1562477715232425,0.6134462688135586,0.4444444444444444,0.6666666666666666,0.3477917934722658,0.8957867783392258,1.0,0.7623899013670968,0.9999469359465815,1.0,0.7623899013670968,0.9999469359465815
development,1000000000.0,M0,5,9,-0.07926692084256587,0.13212472596364258,0.5516133510213652,0.4444444444444444,0.6666666666666666,0.3477917934722658,0.8957867783392258,1.0,0.7623899013670968,0.9999469359465815,1.0,0.7623899013670968,0.9999469359465815
development,1000000000.0,M0,10,9,-0.04983990978998995,0.13005289518958826,0.5414250858914138,0.5555555555555556,0.6666666666666666,0.3477917934722658,0.8957867783392258,1.0,0.7623899013670968,0.9999469359465815,1.0,0.7623899013670968,0.9999469359465815
development,1000000000.0,M0,20,9,0.19840604592678288,0.09584878323395826,0.5406112177217044,0.4444444444444444,0.7777777777777778,0.45617556688065247,0.9506980770234059,1.0,0.7623899013670968,0.9999469359465815,1.0,0.7623899013670968,0.9999469359465815
development,1000000000.0,M1,1,9,-0.24219425571578984,0.1562477715232425,0.6134462688135586,0.4444444444444444,0.6666666666666666,0.3477917934722658,0.8957867783392258,1.0,0.7623899013670968,0.9999469359465815,1.0,0.7623899013670968,0.9999469359465815
development,1000000000.0,M1,5,9,-0.07749080607597097,0.13248407065787376,0.5483725774510694,0.4444444444444444,0.6666666666666666,0.3477917934722658,0.8957867783392258,1.0,0.7623899013670968,0.9999469359465815,1.0,0.7623899013670968,0.9999469359465815
development,1000000000.0,M1,10,9,-0.04636766514484483,0.1306994471294095,0.5350629270399865,0.5555555555555556,0.6666666666666666,0.3477917934722658,0.8957867783392258,1.0,0.7623899013670968,0.9999469359465815,1.0,0.7623899013670968,0.9999469359465815
development,1000000000.0,M1,20,9,0.2084533592156627,0.09559097840820563,0.5312219203636115,0.4444444444444444,0.8888888888888888,0.5855307225594673,0.9877359123783805,1.0,0.7623899013670968,0.9999469359465815,1.0,0.7623899013670968,0.9999469359465815
development,1000000000.0,M2,1,9,-0.2953630440871102,0.17160083812656385,0.6659231829093422,0.4444444444444444,0.6666666666666666,0.3477917934722658,0.8957867783392258,0.8888888888888888,0.5855307225594673,0.9877359123783805,1.0,0.7623899013670968,0.9999469359465815
development,1000000000.0,M2,5,9,-0.06372908728691212,0.12967633405920412,0.5495997468115983,0.4444444444444444,0.6666666666666666,0.3477917934722658,0.8957867783392258,1.0,0.7623899013670968,0.9999469359465815,1.0,0.7623899013670968,0.9999469359465815
development,1000000000.0,M2,10,9,-0.0329963004690996,0.1294511314867549,0.5348720411386974,0.5555555555555556,0.6666666666666666,0.3477917934722658,0.8957867783392258,1.0,0.7623899013670968,0.9999469359465815,1.0,0.7623899013670968,0.9999469359465815
development,1000000000.0,M2,20,9,0.20776070935346203,0.09617074048517427,0.5325862233438072,0.4444444444444444,0.7777777777777778,0.45617556688065247,0.9506980770234059,1.0,0.7623899013670968,0.9999469359465815,1.0,0.7623899013670968,0.9999469359465815
development,1000000000.0,M3,1,9,-0.2953630440871102,0.17160083812656385,0.6659231829093422,0.4444444444444444,0.6666666666666666,0.3477917934722658,0.8957867783392258,0.8888888888888888,0.5855307225594673,0.9877359123783805,1.0,0.7623899013670968,0.9999469359465815
development,1000000000.0,M3,5,9,-0.040431680602125174,0.12907313260249864,0.5595024365356225,0.4444444444444444,0.6666666666666666,0.3477917934722658,0.8957867783392258,1.0,0.7623899013670968,0.9999469359465815,1.0,0.7623899013670968,0.9999469359465815
development,1000000000.0,M3,10,9,0.014810851109734267,0.12496311171423279,0.5339718671896523,0.5555555555555556,0.6666666666666666,0.3477917934722658,0.8957867783392258,1.0,0.7623899013670968,0.9999469359465815,1.0,0.7623899013670968,0.9999469359465815
development,1000000000.0,M3,20,9,0.2675405958091862,0.09098187696977154,0.5357983135450404,0.4444444444444444,0.6666666666666666,0.3477917934722658,0.8957867783392258,1.0,0.7623899013670968,0.9999469359465815,1.0,0.7623899013670968,0.9999469359465815
development,2000000000.0,M0,1,3,-0.4867247160125556,0.20754234638156724,0.6756097624416624,0.0,0.3333333333333333,0.038747617785165174,0.8232639028687426,1.0,0.46441675695704965,0.9998493639745635,1.0,0.46441675695704965,0.9998493639745635
